o,d,count
10号线三门路,10号线殷高东路,8
10号线三门路,10号线江湾体育场,91
10号线上海动物园,10号线虹桥1号航站楼,54
10号线上海动物园,10号线龙溪路,117
10号线上海图书馆,10号线交通大学,259
10号线上海图书馆,10号线陕西南路,380
10号线五角场,10号线国权路,245
10号线五角场,10号线江湾体育场,103
10号线交通大学,10号线上海图书馆,386
10号线交通大学,10号线虹桥路,296
10号线交通大学,11号线交通大学,99
10号线伊犁路,10号线宋园路,314
10号线伊犁路,10号线水城路,142
10号线南京东路,10号线天潼路,310
10号线南京东路,10号线豫园,270
10号线南京东路,2号线南京东路,300
10号线同济大学,10号线四平路,423
10号线同济大学,10号线国权路,219
10号线四川北路,10号线天潼路,515
10号线四川北路,10号线海伦路,205
10号线四平路,10号线同济大学,281
10号线四平路,10号线邮电新村,572
10号线四平路,8号线四平路,64
10号线国权路,10号线五角场,173
10号线国权路,10号线同济大学,348
10号线天潼路,10号线南京东路,522
10号线天潼路,10号线四川北路,264
10号线天潼路,12号线天潼路,39
10号线宋园路,10号线伊犁路,293
10号线宋园路,10号线虹桥路,342
10号线新天地,10号线老西门,277
10号线新天地,10号线陕西南路,228
10号线新天地,13号线新天地,9
10号线新江湾城,10号线殷高东路,52
10号线殷高东路,10号线三门路,61
10号线殷高东路,10号线新江湾城,8
10号线水城路,10号线伊犁路,353
10号线水城路,10号线龙溪路,114
10号线江湾体育场,10号线三门路,40
10号线江湾体育场,10号线五角场,184
10号线海伦路,10号线四川北路,561
10号线海伦路,10号线邮电新村,288
10号线海伦路,4号线海伦路,169
10号线紫藤路,10号线航中路,10
10号线紫藤路,10号线龙柏新村,108
10号线老西门,10号线新天地,239
10号线老西门,10号线豫园,355
10号线老西门,8号线老西门,88
10号线航中路,10号线紫藤路,94
10号线虹桥1号航站楼,10号线上海动物园,60
10号线虹桥1号航站楼,10号线虹桥2号航站楼,45
10号线虹桥2号航站楼,10号线虹桥1号航站楼,69
10号线虹桥2号航站楼,2号线虹桥2号航站楼,45
10号线虹桥路,10号线交通大学,326
10号线虹桥路,10号线宋园路,329
10号线虹桥路,3号线虹桥路,65
10号线虹桥路,4号线虹桥路,28
10号线豫园,10号线南京东路,298
10号线豫园,10号线老西门,201
10号线邮电新村,10号线四平路,266
10号线邮电新村,10号线海伦路,627
10号线陕西南路,10号线上海图书馆,266
10号线陕西南路,10号线新天地,307
10号线陕西南路,12号线陕西南路,42
10号线陕西南路,1号线陕西南路,73
10号线龙柏新村,10号线紫藤路,16
10号线龙柏新村,10号线龙溪路,191
10号线龙溪路,10号线上海动物园,64
10号线龙溪路,10号线水城路,324
10号线龙溪路,10号线龙柏新村,50
11号线三林,11号线三林东,88
11号线三林,11号线东方体育中心,344
11号线三林东,11号线三林,221
11号线三林东,11号线浦三路,89
11号线上海汽车城,11号线安亭,54
11号线上海汽车城,11号线昌吉东路,88
11号线上海游泳馆,11号线徐家汇,558
11号线上海游泳馆,11号线龙华,130
11号线上海西站,11号线李子园,306
11号线上海西站,11号线真如,839
11号线上海赛车场,11号线嘉定新城,100
11号线上海赛车场,11号线昌吉东路,64
11号线东方体育中心,11号线三林,85
11号线东方体育中心,11号线龙耀路,595
11号线东方体育中心,6号线东方体育中心,12
11号线东方体育中心,8号线东方体育中心,126
11号线云锦路,11号线龙华,613
11号线云锦路,11号线龙耀路,129
11号线交通大学,10号线交通大学,244
11号线交通大学,11号线徐家汇,447
11号线交通大学,11号线江苏路,637
11号线兆丰路,11号线光明路,21
11号线兆丰路,11号线安亭,51
11号线光明路,11号线兆丰路,37
11号线光明路,11号线花桥,13
11号线南翔,11号线桃浦新村,436
11号线南翔,11号线马陆,221
11号线嘉定北,11号线嘉定西,71
11号线嘉定新城,11号线上海赛车场,127
11号线嘉定新城,11号线白银路,87
11号线嘉定新城,11号线马陆,287
11号线嘉定西,11号线嘉定北,55
11号线嘉定西,11号线白银路,109
11号线安亭,11号线上海汽车城,79
11号线安亭,11号线兆丰路,31
